FIPS,Geo_FIPS
% Female: 10 to 14 Years,PCT_ACS14_5yr_B01001029
% Female: 15 to 17 Years,PCT_ACS14_5yr_B01001030
% Female: 18 and 19 Years,PCT_ACS14_5yr_B01001031
% Female: 20 Years,PCT_ACS14_5yr_B01001032
% Female: 21 Years,PCT_ACS14_5yr_B01001033
% Female: 22 to 24 Years,PCT_ACS14_5yr_B01001034
% Female: 25 to 29 Years,PCT_ACS14_5yr_B01001035
% Female: 30 to 34 Years,PCT_ACS14_5yr_B01001036
% Female: 35 to 39 Years,PCT_ACS14_5yr_B01001037
% Female: 40 to 44 Years,PCT_ACS14_5yr_B01001038
% Female: 45 to 49 Years,PCT_ACS14_5yr_B01001039
% Female: 50 to 54 Years,PCT_ACS14_5yr_B01001040
% Female: 55 to 59 Years,PCT_ACS14_5yr_B01001041
% Female: 60 and 61 Years,PCT_ACS14_5yr_B01001042
% Female: 62 to 64 Years,PCT_ACS14_5yr_B01001043
% Female: 65 and 66 Years,PCT_ACS14_5yr_B01001044
% Female: 67 to 69 Years,PCT_ACS14_5yr_B01001045
% Female: 70 to 74 Years,PCT_ACS14_5yr_B01001046
% Female: 75 to 79 Years,PCT_ACS14_5yr_B01001047
% Female: 80 to 84 Years,PCT_ACS14_5yr_B01001048
% Female: 85 Years and Over,PCT_ACS14_5yr_B01001049
Workers 16 Years and Over in Households,ACS14_5yr_B08014001
Workers 16 Years and Over in Households: No Vehicle Available,ACS14_5yr_B08014002
Workers 16 Years and Over in Households: 1 Vehicle Available,ACS14_5yr_B08014003
Workers 16 Years and Over in Households: 2 Vehicles Available,ACS14_5yr_B08014004
Workers 16 Years and Over in Households: 3 Vehicles Available,ACS14_5yr_B08014005
Workers 16 Years and Over in Households: 4 Vehicles Available,ACS14_5yr_B08014006
Workers 16 Years and Over in Households: 5 or More Vehicles Available,ACS14_5yr_B08014007
Workers 16 Years and Over in Households: Male,ACS14_5yr_B08014008
Workers 16 Years and Over in Households: Male: No Vehicle Available,ACS14_5yr_B08014009
Workers 16 Years and Over in Households: Male: 1 Vehicle Available,ACS14_5yr_B08014010
Workers 16 Years and Over in Households: Male: 2 Vehicles Available,ACS14_5yr_B08014011
Workers 16 Years and Over in Households: Male: 3 Vehicles Available,ACS14_5yr_B08014012
Workers 16 Years and Over in Households: Male: 4 Vehicles Available,ACS14_5yr_B08014013
Workers 16 Years and Over in Households: Male: 5 or More Vehicles Available,ACS14_5yr_B08014014
Workers 16 Years and Over in Households: Female,ACS14_5yr_B08014015
Workers 16 Years and Over in Households: Female: No Vehicle Available,ACS14_5yr_B08014016
Workers 16 Years and Over in Households: Female: 1 Vehicle Available,ACS14_5yr_B08014017
Workers 16 Years and Over in Households: Female: 2 Vehicles Available,ACS14_5yr_B08014018
Workers 16 Years and Over in Households: Female: 3 Vehicles Available,ACS14_5yr_B08014019
Workers 16 Years and Over in Households: Female: 4 Vehicles Available,ACS14_5yr_B08014020
Workers 16 Years and Over in Households: Female: 5 or More Vehicles Available,ACS14_5yr_B08014021
Std. Error: Workers 16 Years and Over in Households,ACS14_5yr_B08014001s
Std. Error: Workers 16 Years and Over in Households: No Vehicle Available,ACS14_5yr_B08014002s
Std. Error: Workers 16 Years and Over in Households: 1 Vehicle Available,ACS14_5yr_B08014003s
Std. Error: Workers 16 Years and Over in Households: 2 Vehicles Available,ACS14_5yr_B08014004s
Std. Error: Workers 16 Years and Over in Households: 3 Vehicles Available,ACS14_5yr_B08014005s
Std. Error: Workers 16 Years and Over in Households: 4 Vehicles Available,ACS14_5yr_B08014006s
Std. Error: Workers 16 Years and Over in Households: 5 or More Vehicles Available,ACS14_5yr_B08014007s
Std. Error: Workers 16 Years and Over in Households: Male,ACS14_5yr_B08014008s
Std. Error: Workers 16 Years and Over in Households: Male: No Vehicle Available,ACS14_5yr_B08014009s
Std. Error: Workers 16 Years and Over in Households: Male: 1 Vehicle Available,ACS14_5yr_B08014010s
Std. Error: Workers 16 Years and Over in Households: Male: 2 Vehicles Available,ACS14_5yr_B08014011s
Std. Error: Workers 16 Years and Over in Households: Male: 3 Vehicles Available,ACS14_5yr_B08014012s
Std. Error: Workers 16 Years and Over in Households: Male: 4 Vehicles Available,ACS14_5yr_B08014013s
Std. Error: Workers 16 Years and Over in Households: Male: 5 or More Vehicles Available,ACS14_5yr_B08014014s
Std. Error: Workers 16 Years and Over in Households: Female,ACS14_5yr_B08014015s
Std. Error: Workers 16 Years and Over in Households: Female: No Vehicle Available,ACS14_5yr_B08014016s
Std. Error: Workers 16 Years and Over in Households: Female: 1 Vehicle Available,ACS14_5yr_B08014017s
Std. Error: Workers 16 Years and Over in Households: Female: 2 Vehicles Available,ACS14_5yr_B08014018s
Std. Error: Workers 16 Years and Over in Households: Female: 3 Vehicles Available,ACS14_5yr_B08014019s
Std. Error: Workers 16 Years and Over in Households: Female: 4 Vehicles Available,ACS14_5yr_B08014020s
Std. Error: Workers 16 Years and Over in Households: Female: 5 or More Vehicles Available,ACS14_5yr_B08014021s
% Workers 16 Years and Over in Households: No Vehicle Available,PCT_ACS14_5yr_B08014002
% Workers 16 Years and Over in Households: 1 Vehicle Available,PCT_ACS14_5yr_B08014003
% Workers 16 Years and Over in Households: 2 Vehicles Available,PCT_ACS14_5yr_B08014004
% Workers 16 Years and Over in Households: 3 Vehicles Available,PCT_ACS14_5yr_B08014005
% Workers 16 Years and Over in Households: 4 Vehicles Available,PCT_ACS14_5yr_B08014006
% Workers 16 Years and Over in Households: 5 or More Vehicles Available,PCT_ACS14_5yr_B08014007
% Workers 16 Years and Over in Households: Male,PCT_ACS14_5yr_B08014008
% Workers 16 Years and Over in Households: Male: No Vehicle Available,PCT_ACS14_5yr_B08014009
% Workers 16 Years and Over in Households: Male: 1 Vehicle Available,PCT_ACS14_5yr_B08014010
% Workers 16 Years and Over in Households: Male: 2 Vehicles Available,PCT_ACS14_5yr_B08014011
% Workers 16 Years and Over in Households: Male: 3 Vehicles Available,PCT_ACS14_5yr_B08014012
% Workers 16 Years and Over in Households: Male: 4 Vehicles Available,PCT_ACS14_5yr_B08014013
% Workers 16 Years and Over in Households: Male: 5 or More Vehicles Available,PCT_ACS14_5yr_B08014014
% Workers 16 Years and Over in Households: Female,PCT_ACS14_5yr_B08014015
% Workers 16 Years and Over in Households: Female: No Vehicle Available,PCT_ACS14_5yr_B08014016
% Workers 16 Years and Over in Households: Female: 1 Vehicle Available,PCT_ACS14_5yr_B08014017
% Workers 16 Years and Over in Households: Female: 2 Vehicles Available,PCT_ACS14_5yr_B08014018
% Workers 16 Years and Over in Households: Female: 3 Vehicles Available,PCT_ACS14_5yr_B08014019
% Workers 16 Years and Over in Households: Female: 4 Vehicles Available,PCT_ACS14_5yr_B08014020
% Workers 16 Years and Over in Households: Female: 5 or More Vehicles Available,PCT_ACS14_5yr_B08014021
"Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting",ACS14_5yr_B08015001
"Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Male",ACS14_5yr_B08015002
"Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Female",ACS14_5yr_B08015003
"Std. Error: Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting",ACS14_5yr_B08015001s
"Std. Error: Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Male",ACS14_5yr_B08015002s
"Std. Error: Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Female",ACS14_5yr_B08015003s
"% Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Male",PCT_ACS14_5yr_B08015002
"% Workers Whose Means of Transportation Is Car, Truck, or Van: Aggregate Number of Vehicles (Car, Truck, or Van) Used in Commuting: Female",PCT_ACS14_5yr_B08015003
Workers 16 Years and Over Who Did Not Work At Home,ACS14_5yr_B08134001
Workers 16 Years and Over Who Did Not Work At Home: Less than 10 Minutes,ACS14_5yr_B08134002
Workers 16 Years and Over Who Did Not Work At Home: 10 to 14 Minutes,ACS14_5yr_B08134003
Workers 16 Years and Over Who Did Not Work At Home: 15 to 19 Minutes,ACS14_5yr_B08134004
Workers 16 Years and Over Who Did Not Work At Home: 20 to 24 Minutes,ACS14_5yr_B08134005
Workers 16 Years and Over Who Did Not Work At Home: 25 to 29 Minutes,ACS14_5yr_B08134006
Workers 16 Years and Over Who Did Not Work At Home: 30 to 34 Minutes,ACS14_5yr_B08134007
Workers 16 Years and Over Who Did Not Work At Home: 35 to 44 Minutes,ACS14_5yr_B08134008
Workers 16 Years and Over Who Did Not Work At Home: 45 to 59 Minutes,ACS14_5yr_B08134009
Workers 16 Years and Over Who Did Not Work At Home: 60 or More Minutes,ACS14_5yr_B08134010
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van",ACS14_5yr_B08134011
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Less than 10 Minutes",ACS14_5yr_B08134012
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 10 to 14 Minutes",ACS14_5yr_B08134013
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 15 to 19 Minutes",ACS14_5yr_B08134014
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 20 to 24 Minutes",ACS14_5yr_B08134015
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 25 to 29 Minutes",ACS14_5yr_B08134016
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 30 to 34 Minutes",ACS14_5yr_B08134017
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 35 to 44 Minutes",ACS14_5yr_B08134018
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 45 to 59 Minutes",ACS14_5yr_B08134019
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: 60 or More Minutes",ACS14_5yr_B08134020
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone",ACS14_5yr_B08134021
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: Less than 10 Minutes",ACS14_5yr_B08134022
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 10 to 14 Minutes",ACS14_5yr_B08134023
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 15 to 19 Minutes",ACS14_5yr_B08134024
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 20 to 24 Minutes",ACS14_5yr_B08134025
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 25 to 29 Minutes",ACS14_5yr_B08134026
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 30 to 34 Minutes",ACS14_5yr_B08134027
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 35 to 44 Minutes",ACS14_5yr_B08134028
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 45 to 59 Minutes",ACS14_5yr_B08134029
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Drove Alone: 60 or More Minutes",ACS14_5yr_B08134030
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled",ACS14_5yr_B08134031
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: Less than 10 Minutes",ACS14_5yr_B08134032
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 10 to 14 Minutes",ACS14_5yr_B08134033
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 15 to 19 Minutes",ACS14_5yr_B08134034
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 20 to 24 Minutes",ACS14_5yr_B08134035
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 25 to 29 Minutes",ACS14_5yr_B08134036
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 30 to 34 Minutes",ACS14_5yr_B08134037
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 35 to 44 Minutes",ACS14_5yr_B08134038
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 45 to 59 Minutes",ACS14_5yr_B08134039
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: 60 or More Minutes",ACS14_5yr_B08134040
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool",ACS14_5yr_B08134041
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: Less than 10 Minutes",ACS14_5yr_B08134042
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 10 to 14 Minutes",ACS14_5yr_B08134043
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 15 to 19 Minutes",ACS14_5yr_B08134044
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 20 to 24 Minutes",ACS14_5yr_B08134045
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 25 to 29 Minutes",ACS14_5yr_B08134046
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 30 to 34 Minutes",ACS14_5yr_B08134047
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 35 to 44 Minutes",ACS14_5yr_B08134048
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 45 to 59 Minutes",ACS14_5yr_B08134049
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 2-Person Carpool: 60 or More Minutes",ACS14_5yr_B08134050
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool",ACS14_5yr_B08134051
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: Less than 10 Minutes",ACS14_5yr_B08134052
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 10 to 14 Minutes",ACS14_5yr_B08134053
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 15 to 19 Minutes",ACS14_5yr_B08134054
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 20 to 24 Minutes",ACS14_5yr_B08134055
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 25 to 29 Minutes",ACS14_5yr_B08134056
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 30 to 34 Minutes",ACS14_5yr_B08134057
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 35 to 44 Minutes",ACS14_5yr_B08134058
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 45 to 59 Minutes",ACS14_5yr_B08134059
"Workers 16 Years and Over Who Did Not Work At Home: Car, Truck, or Van: Carpooled: in 3-Or-More-Person Carpool: 60 or More Minutes",ACS14_5yr_B08134060
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab),ACS14_5yr_B08134061
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Less than 10 Minutes,ACS14_5yr_B08134062
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 10 to 14 Minutes,ACS14_5yr_B08134063
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 15 to 19 Minutes,ACS14_5yr_B08134064
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 20 to 24 Minutes,ACS14_5yr_B08134065
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 25 to 29 Minutes,ACS14_5yr_B08134066
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 30 to 34 Minutes,ACS14_5yr_B08134067
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 35 to 44 Minutes,ACS14_5yr_B08134068
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 45 to 59 Minutes,ACS14_5yr_B08134069
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): 60 or More Minutes,ACS14_5yr_B08134070
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Bus or Trolley Bus,ACS14_5yr_B08134071
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Bus or Trolley Bus: Less than 10 Minutes,ACS14_5yr_B08134072
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Bus or Trolley Bus: 10 to 14 Minutes,ACS14_5yr_B08134073
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Bus or Trolley Bus: 15 to 19 Minutes,ACS14_5yr_B08134074
Workers 16 Years and Over Who Did Not Work At Home: Public Transportation (Excluding Taxicab): Bus or Trolley Bus: 20 to 24 Minutes,ACS14_5yr_B08134075
